._MODE,._NEW_MODE,._NEW_MANAGER,._W,._NEW_W,._WORKER_USER,._NICK,._NEW_NICK,._USER,._NEW_USER,._TYPE,._MALAY_W,._MALAY_P,._THAI_W,._THAI_P,._W,._P
C,C,WHANG,ตั๊ก,นา,NA,เดียร์,เดียร์-ชน,เดียร์,DIA,M,N,Y,N,N,N,Y
C,C,WHANG,บัว,นา,NA,เดียร์,เดียร์-ชน,เดียร์,DIA,M,N,Y,N,N,N,Y
C,C,WHANG,บัว,นา,NA,เดียร์-ชน,เดียร์-ชน,เดียร์-ชน,DIA,M,N,Y,N,N,N,Y
C,C,WHANG,หมวยเล็ก,นา,NA,พี่เอียดบ้าน,เอียดบ้าน,พี่เอียดบ้าน,EIATB,M,N,Y,N,N,N,Y
C,C,WHANG,เล็ก,นา,NA,เอิบ,เอิบ,เอิบ,ER,M,N,Y,N,N,N,Y
C,C,WHANG,เล็ก,นา,NA,เอิบ / ER,เอิบ,เอิบ / ER,ER,M,N,Y,N,N,N,Y
C,C,WHANG,WEB,นา,NA,FAR,ฟ้า,FAR,FAR,T,N,N,Y,N,Y,
C,C,WHANG,บัว,นา,NA,ฟ้า,ฟ้า,ฟ้า,FAR,M,N,Y,N,N,N,Y
C,C,WHANG,WEB,นา,NA,นุช future,ฟิวเจอร์,นุช future,FL,T,N,N,Y,N,Y,
C,C,WHANG,ชาติ,นา,NA,ฟิวเจอร์,ฟิวเจอร์,ฟิวเจอร์,FL,T,N,N,N,Y,,Y
C,C,WHANG,ชาติ,นา,NA,ฟิวเจอร์,ฟิวเจอร์,ฟิวเจอร์,FL,M,N,Y,N,N,N,Y
C,C,WHANG,ชาติ,นา,NA,ฟิวเจอร์ / FL,ฟิวเจอร์,ฟิวเจอร์ / FL,FL,M,N,Y,N,N,N,Y
C,C,WHANG,หน้าเว็ป,นา,NA,นุช,ฟิวเจอร์,นุช,FL,M,Y,N,N,N,Y,N
C,C,WHANG,นา,นา,NA,แกะ,แกะ,แกะ,GAE,T,N,N,N,Y,,Y
